Test,Accuracy
T0101,0.716310353111
T0102,0.71649051165
T0103,0.716310353111
T0104,0.71649051165
T0105,0.716310353111
T0106,0.716310353111
T0107,0.716310353111
T0201,0.810233005044
T0401,0.478622892526
T0501,0.808371366803
T0502,0.846084554408
T0503,0.786632236368
T0504,0.935923612779
T0601,0.359676129029
T0602,0.483592834014
T0603,0.293161145356
T0604,0.828593668512
T0701,0.682860917607
T0801,0.716310353111
