Test,Accuracy
T0101,0.796235679214
T0102,0.808510638298
T0103,0.796235679214
T0104,0.813420621931
T0105,0.796235679214
T0106,0.798690671031
T0107,0.796235679214
T0201,0.887888707038
T0401,0.630064979838
T0501,0.871522094926
T0502,0.900981996727
T0503,0.850245499182
T0504,0.980360065466
T0601,0.432607956817
T0602,0.567946895316
T0603,0.352889796462
T0604,0.932986527611
T0701,0.790507364975
T0801,0.806055646481
